Phase,Phase Name,Week,Week Dates,Workstream ID,Workstream,Task,Owner,Status,Est. Hours,Target Date,Notes
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,Review current HubSpot portal access and document baseline state,Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Configure portal name, logo, favicon, timezone, currency, and date format",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Define user role structure: Admin, Sales Manager, Sales Rep",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Create user accounts for all 10 users across 4 offices (Atlanta, Dallas, Denver, South Florida)",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,Configure team structure: create teams by office location,Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Configure permission sets per role (contact visibility, deal access, report access)",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Set up security settings: login notifications, 2FA requirements for admins",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Establish naming conventions document for properties, lists, and workflows",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,QA: verify all 10 users can log in with correct role and data visibility,Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-02,Contact & Company Management,Run properties workshop with Jason Wise: map all required custom contact and company fields,Sayer,Not Started,1.2,Apr 13-18,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,"Create custom contact properties (persona, broker type, relationship tier, acquisition focus, etc.)",Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,"Create custom company properties (entity type, market, PE firm vs. portfolio company, AUM, etc.)",Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,Configure lifecycle stages for BD pipeline (prospect → active → closed),Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,Configure lead statuses for pipeline progression,Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,Build parent-child company hierarchy (PE firm → portfolio company structure),Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,"Set up association labels: broker, lender, investment partner, evangelist, acquisition target",Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,"Configure persona picklist options: broker, evangelist, investment partner, lender, competitor",Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,"Configure deduplication detection rules (match on email, phone, name+company)",Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,Build active list: acquisition target contacts,Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,Build active list: broker contacts by office/territory,Sayer,Not Started,1.2,Apr 21-25,
